CanonicalFunction,MergedFunctions,Mechanism,Structure,paragraph_ids,num_paragraphs,num_phrases,Subsystems
reduce flight control difficulty,reduce flight control difficulty,balance point on hemisphere face | mooring cable extension line passes UAV focus | mooring cable tie point follows UAV focus | pull ring center superposed with gravity center | slide fastener coupling follows pull ring motions | tie point moves according to flight state,,3594,1,1,autonomous flight control | blades
reduce flight height,raise or lower flight altitude | reduce flight altitude | reduce flight height,,calculating polygon area | detecting mark from images | flight altitude calculation part | relay engine receiving and storing data | simulator generating virtual drone,1211 | 2334 | 2335 | 5029,4,3,avionics processing | autonomous flight control
reduce flood damage,reduce flood damage,data from command center | drones analyze flame area,aerial dam on river bed | device separating soil and water | drone landing pad | drone with fire extinguishing bomb | pump inside river bank | tank collecting soil and water,4322,1,1,telecommunication | autonomous flight control
reduce flying attack angle,reduce flying attack angle,disconnection after load throw | rotors generate downward force | throwing front ropes shorter,flexible wing unmanned aerial vehicle | parafoil with hanging straps | throwing front and back connecting points | throwing front and back hanging points,439,1,1,blades | autonomous flight control
reduce flying speed,improve flying speed | reduce flying speed,adjusting pesticide discharge | forward droplet direction | fuselage level setting | increased spraying amount | larger pesticide droplets | resistance change mechanism | screw axis acute angle | spray head rotation | spraying towards flight direction | steering mechanism rotation | wind resistance effect,miniature coaxial double-oar UAV | period torque changing mechanism | pesticide spraying mechanism,3484 | 6500,2,2,blades | autonomous flight control
reduce footprint in storage,reduce footprint in storage,,airframe | engine | rotor,6495 | 6496,2,1,blades | CO2 gas-gap insulation
reduce gas yield,reduce gas yield,,LiNi n Co m Mn (1-n-m) | conductive agent | lithium iron phosphate formula | nickel cobalt lithium manganate formula | positive active layer | positive current collector | positive electrode active material | positive plate,191,1,1,batteries | CO2 gas-gap insulation
reduce greenhouse gas emission,reduce greenhouse gas emission,,fuel cell inside main body | hydrogen supply from tank | hydrogen tank | revolvable main body | working device,1382 | 1383,2,1,CO2 gas-gap insulation | solar panel
reduce hardware cost,reduce hardware cost,calculate included angle | least three downward-looking rangefinders | provided aircraft calculating rotation,drone sampling river water | management unit with wireless communication | processing module | processing module output | switching module | switching module input,1450 | 2133,2,1,avionics processing | sensors
reduce harm,reduce harm | reduce or avoid harm,maintain safety perimeter | stop propeller near object,controller in handheld support | generates control signals,4226 | 4227 | 5654 | 5655,4,2,blades | autonomous flight control
reduce human damage,reduce human damage,connect points to generate sub-route | determine corner position | determine relevance of points and curve | generate operation route | image recognition,,5294,1,1,camera | avionics processing
reduce human pre-preparation,reduce human pre-preparation,,,4794,1,1,CO2 gas-gap insulation | avionics processing
reduce illegal operation rates,reduce illegal operation rates,,battery adjustment system | unmanned aerial vehicle,2768 | 2769,2,1,autonomous flight control | solar panel
reduce image data interpretation time,reduce image data interpretation time,,,1417 | 1418,2,1,camera | avionics processing
reduce image deformation,reduce image deformation | reduce turning image deformation,UAV shoots target position | automatic route file generation | control display by UAV image mode | display panoramic image | input imaging spectrometer field angle | no other software needed | show UAV image on display,first database entry generation | network interface for ART data,608 | 6034,2,2,camera | sensors
reduce image loss near high-tension line,reduce image loss near high-tension line,,electric push-pull rod in shell | haulage rope fixed to push-pull rod | metal cover on shell | push-pull rod connected to circumferential camera | shielding box with fire extinguishing mechanism,3378,1,1,CO2 gas-gap insulation | fuselage
reduce impact damage,reduce impact damage | reduce impact loss,audible warnings during descent | components descend via parachutes | coupling transit pod and carrier | transit pod moves on transit carrier,detachable arm part | detachable arm portion | first connecting part | housing with first connection portion | side arm detachable connection | unmanned aerial vehicle system,560 | 561 | 3934,3,2,landing system | autonomous flight control
reduce impact force during collision,reduce impact force during collision,functions flame retardance buffering | gravity type self-opening assembly | protection mechanism cooperation | reduced through helium meanwhile | slow descending mechanism,fixing boxes front and rear | lighting part extending downward | unmanned aerial vehicle body,1251,1,1,fuselage | autonomous flight control
reduce impact force on electronic devices,reduce impact force on electronic devices,extract integer values from mixed-integer optimization | inputs task parameters and device state | neural network estimates motion trajectory | plan task execution | processor and memory | result in estimated motion trajectory,UAV traction rope releasing and recovering device | adsorption box detachably on pushing assembly | camera shooting assembly | pushing assembly inside discharge and recovery assembly | remote controller,3920,1,1,sensors | autonomous flight control
reduce impact on unmanned aerial vehicle before and after landing,reduce impact on unmanned aerial vehicle before and after landing,,fasten central plate to upper plate | fastening members at regular intervals | gimbal coupled | hollow-shaped upper plate | upper mounting units,2414,1,1,landing system | autonomous flight control
reduce impact on water surface,reduce impact on water surface,,V-shaped float bowl bottom | broken step at rear bottom | broken step design | buoy front end inclined upwards | float bowl tail inclined upwards | floating cylinder ship-like structure | head lifted from water surface | reduced fluid resistance | tail lifted from water surface | two bilateral buoys | vehicle body with wings,901,1,1,blades | landing system
reduce impact rate,reduce impact rate,,pillars with silver foil protective material | reinforced plastic connectors | right angle and T shape structures | spring-treated fixing member | three pillar connection types,1243,1,1,fuselage | CO2 gas-gap insulation
reduce implementation cost,reduce implementation cost,IMU enhanced momentum-based observer | local track optimization | planning distance target | re-planning with global safety point,6D force control | multi-rotor robot | non-collinear fixed inclined propeller,3943,1,1,blades | autonomous flight control
reduce information transmission burden,reduce information transmission burden,edge nodes on data link | embedded computer processing | pedestrian number identification | pre-trained data model | yolov4 machine learning algorithm,Jetson Nano computer | Jetson Nano embedded computer | control module | fixed locking device | flight control avionic module | frame body | invention relates technical field | loading platform | optical pod | positioning module | reconnaissance camera module | rotor wing system | structural stability | unmanned aerial vehicle optical pod | unmanned aerial vehicle reconnaissance,5009 | 5010,2,1,avionics processing | autonomous flight control
reduce injury to bystanders,reduce injury to bystanders,audible warnings during descent | components descend via parachutes | coupling transit pod and carrier | transit pod moves on transit carrier,unmanned aerial vehicle system,560 | 561,2,1,landing system | autonomous flight control
reduce inspection cost,reduce inspection cost | reduce inspection workload,communication between ground control and UAV lifting module | communication between ground control and inspection robot | controlling foreign matter removal | determine detection probability | determine target change status | foreign matter identification via camera | harmony search algorithm | improved harmony search algorithm | inspection information feedback | inspection task assignment | instructions for lifting and controlling UAV | integration of potential field and DQN | judging foreign matter position | loading trained parameters onboard | optimization of inspection path | potential field model construction | reward function for DQN | self-adaptive parameter adjustment | use confidence scores,carrying vehicle | intelligent equipment | line inspection system | on-board computer | unmanned aerial vehicle | vehicle-mounted machine nest | wind power plant line inspection system,1910 | 1954 | 2371 | 4189 | 4761 | 4762,6,2,autonomous flight control | sensors
reduce inspection risks,reduce inspection risks | reducing inspection risk,first planning path generation | marking inspection key points | patrol database task point check | patrol key point condition judgment,UAV LED scintillation module | brain electrical signal analysis module 4 | brain electrical signal collection and analysis modules | next computer | orientation module | visual stimulation display modules,510 | 4963,2,2,sensors | camera
reduce installation space,reduce installation space,acoustic detection sensor | data transmission to server,,3449,1,1,telecommunication | sensors
reduce interference from mechanical arms,reduce interference from mechanical arms,acquire operator info from control device | dynamic self-balancing control | identify operator from control system | stability of carrier attitude,arms with three degrees of freedom | double-mechanical-arm mimics human skeleton | double-mechanical-arm system | multi-rotor aircraft humanoid system,5468,1,1,autonomous flight control | blades
reduce interference to communication,reduce interference to communication | reducing communication interference,,RSSI as scan data | explosion-proof case on frame | fixed frame at assembly bottom | four frame arms | frame arms around host computer | host computer box | scan angle | scan height | stable installation via positioner | two vertical frame pole assemblies | vertical and horizontal frame poles | vertical frame poles fixed to horizontal poles,5988 | 5989,2,2,telecommunication | fuselage
reduce invalid UAV work,reduce invalid UAV work,,,3188 | 3189,2,1,autonomous flight control | avionics processing
reduce invalid area search times,reduce invalid area search times,control of parameterized verification instructions | execution of flight plan | providing parameterized verification instructions | sending UAV verification data | sending verification data to ground system | update target existence map,,5261,1,1,autonomous flight control | avionics processing
reduce jolt and vibration influence,reduce jolt and vibration influence,according to compensation amount | calculate compensation amount | motor rotation | send to motor driving board,bracket at bottom | camera module | cradle head main body | gesture sensor | unmanned aerial vehicle body | wheel frame connected,2761,1,1,autonomous flight control | sensors
reduce labor costs,labor cost saving | lower labor cost | reduce labor and time cost | reduce labor cost | reduce labor costs | reduced labor cost | reduces labor cost | reducing labor cost | solve high labor cost,artificial potential field | automatic filling device fills grease | calculating mutual information | consistent flight attitude | derive flying rule from image position | detect target facility area | determine minimum bounding rectangle | docking with cabin docking system | docking with cabin system | fitting power transmission line | image segmentation | inputting EEG signal | modulating optical signal intensity | navigator and follower UAVs | obtain detection object | obtain environment image | obtaining input sample set | rail guided vehicle control | scissor fork frame and electric push rod | sequencing frequency bands | setting acquisition radius | training motor imagery neural network | using matched image object | using trained neural network model,air outlet device | automatic filling device | automatic medlar picking system | autonomous drone | cabin docking system | control computing terminal | device and equipment | duct fan | end-effector | environmental information acquisition equipment | film hanging management system | flight control method | intelligent film hanging rack | lifting mechanism | picking machine | power inspection method | processor | purging air pipe | purging device | rail guide car body | rotation driving device | sensing detection unit | simultaneous detection of different tower positions | storage medium | thermal imaging camera | two intercommunicating unmanned aerial vehicles | unmanned aerial vehicle | unmanned aerial vehicle group | unmanned aerial vehicle system | video thermal image,1072 | 1853 | 2320 | 2658 | 2713 | 3169 | 3504 | 4524 | 4525 | 4754 | 4814,11,9,autonomous flight control | avionics processing
reduce landing impact,impact reduction on landing | reduce landing impact,,air bag assembly | air bag assembly enclosed | bracket at bottom | bracket lifting lugs | connecting grooves | elevated land portion in first zone | first inner cavity | fixed lifting lug | fixing frame connections | foot rest assembly | foot rest shell | lifting lug springs | semicircular end | unmanned aerial vehicle body | wheel frame connected | wheel frame lifting lugs,414 | 2762,2,2,landing system | fuselage
reduce locking difficulty,reduce locking difficulty,,between first and second components | clamping pin | detent assembly | fixed locking structure | hook assembly | lock catch | lock catch and lock pin | lock pin assembly | mounted to members | unmanned aerial vehicle,2131,1,1,landing system | fuselage
reduce logistics cost,reduce logistics cost,lower cleaning unit moves left and right | lower left and right moving part moves cleaning part | maintains distance between brush and spray,cleaning box inner lower part | cleaning box with open side | drone unit flying to streetlight | lower cleaning unit | lower rotating brush member | lower washing water spray member | position fixing unit | processor and non-transitory memory | receiving flight sensor data | streetlight fixture cleaning drone,4089 | 4090 | 4091,3,1,landing system | blades
reduce long time,reduce long time,check numerical value against threshold | compare GPS height to target | determine fault cause by GPS vertical speed | determine fault cause by ground imitation height change | use first preset time period,,5296,1,1,sensors | camera
reduce machine body load,reduce machine body load,,area setting unit | continuous water supply to tank | coordinate receiving unit | flight restriction area | hanging platform | hanging platform added | integral frame | unmanned aerial vehicle,3814,1,1,landing system | fuselage
reduce magnetic field interference,minimize magnetic field interference | reduce magnetic field interference,calculating magnetic induction intensity | constructing magnetic induction intensity equation | expansion and reduction search and development | fitness function with three parameters | four search strategies | iteration termination judgment | output optimal layout parameters | performing electromagnetic field simulation,claw arm end | claw motor | driving piece rotates shaft | light-transmitting ring near lens | mechanical claw | mechanical claw arm | opening and closing module | rotary center shaft on fixed support | thermal imaging device fixed on UAV | thermal imaging lens fixed on shaft | vehicle-mounted module,2340 | 5273 | 5274,3,2,blades | sensors
reduce maintenance complexity,reduce maintenance complexity,,processing module | processing module output | switching module | switching module input,2133,1,1,avionics processing | solar panel
reduce manpower and site investment,reduce manpower and site investment,,bracket fixed on base | bracket with vertical guide rail,433 | 434,2,1,fuselage | landing system
reduce manual control workload,reduce manual control workload,battery reloading power piece | control drone landing | generate landing scheme,first flying power member | flying power conversion body | locking piece | position adjusting piece | unmanned aerial vehicle body,6058,1,1,autonomous flight control | blades
reduce manual demand,reduce manual demand,,air spraying assembly | dedicated landing strip for landing | dedicated standby landing strip | jet subassembly | pair of landing strips | standby or landing area | unmanned plane | vision subassembly | water spray subassembly | water spraying assembly,751,1,1,landing system | fuselage
reduce manual editing,reduce manual editing,generate tracks from points and parameters | record state parameters,,773,1,1,autonomous flight control | avionics processing
reduce manual node testing,reduce manual node testing,Q-Learning based ground node design | UAV carries ad hoc network | communication via ground node | reinforcement learning ground node,M wefts and N warps | hemispherical LED array top end | omnidirectional light receiver | ultraviolet LEDs at intersections,5760,1,1,sensors | autonomous flight control
reduce manual water adding work,reduce manual water adding work,,automatic water adding system | computer-readable storage medium | paver connected to road roller cluster | photographing control method and device | positioning base station | positioning base station provides differential positioning data | road roller cluster | unmanned aerial vehicle,5784 | 5785,2,1,telecommunication | camera
reduce manual workload,reduce manual operation | reduce manual workload | simplified manual operation,multi-frame aerial images,binocular vision ranging module | connecting rod assemblies | connecting rod slider | gap between rails | image storage transmitter | information transmission module | miniature lens | pair of rails | rectangular sleeve | remote control devices | remote control receiver | screw rod | space on underside and end side,2804 | 5706 | 5922,3,3,camera | sensors
reduce manufacturing cost,low manufacturing cost | reduce manufacturing cost,compared to secondary processing | integral injection molding | n-phase encoder | signal processing and calibration | signal transformations,first folding arm | first folding arm connected to machine body | integrally injection molded folding arm | landing gear function | machine moves with target | movable machine | movement system | propeller assembly connection | propeller protection assembly | second folding arm | set function for trip service | shielding object,159 | 2363 | 6068,3,2,fuselage | avionics processing
reduce mechanism volume,reduce mechanism volume,broadcast device casing setting | mechanism rotate guarantee expanding | power adjustment process | supply power from unmanned object,driving mechanism | energy supply system | infrared emitting device | management system | power transmission and distribution system | power transmission system | regional power system | rotational mounting seat | shooting equipment | transport vehicle | unmanned aerial vehicle | unmanned flying object,2168 | 2169,2,1,telecommunication | autonomous flight control
reduce mine handling risk,reduce mine handling risk,motor or hydraulic actuation,cylindrical mine storage | directional mine mounted storage | mine launching unit | unit has detonator detonated,1255,1,1,landing system | autonomous flight control
reduce motor and screw loss,reduce motor and screw loss,rotating member driven by rotating assembly | rotation based on pressure value distribution,cargo cabin placing table | cargo cabin placing table connected to rotating assembly | pressure sensors on cargo cabin placing table | rotating assembly | unmanned aerial vehicle cargo allocation equipment | warehouse placing table,895,1,1,sensors | fuselage
reduce natural light influence on beam,reduce natural light influence on beam,,balancing weight at shell bottom | connecting wire | detection bin | detector shell | expansion frame | first camera transversely arranged | light beam receiver linked to UAV signal | motor-driven reel | multi-parameter ocean water quality spectrometer | propeller type unmanned aerial vehicle | sensor fixed to shell | shading materials,5623,1,1,sensors | solar panel
reduce navigation radius,reduce navigation radius,detect target state information | inter-machine information interaction | wireless ultraviolet light secret communication,,5751 | 5752,2,1,telecommunication | sensors
reduce navigation times,reduce navigation times,,Figure 1 | air detection sensor | at least two deformation sensors | at least two propulsion or lift rotors | continuous peripheral protection | detection equipment | detection equipment shell | four-rotor unmanned aerial vehicle | hook and shockproof pad | mounting bracket | multirotor drone carrying frame | processing unit connected to sensors | rotor control member | sensors on peripheral outer wall | throwing box position | throwing device installation | unmanned aerial vehicle atmospheric monitoring equipment,3613 | 3614,2,1,sensors | blades
reduce number of UAVs required,reduce number of UAVs required,acquire flight trajectory data | determine flight-limiting altitude | execute flight trajectory task | flight-limiting altitude relative to reference point | identifying coincident execution windows | time-based operation sequence,plurality of UAVs,2559 | 2560,2,1,autonomous flight control | avionics processing
reduce number of fire actuators,reduce number of fire actuators,fuselage and landing leg locking and unlocking | locked by rotor locking and unlocking mechanism,Mars lander | array of transducer devices | coaxial Mars helicopter | coaxial spark helicopter | coaxial spark helicopter inverted in vertical column assembly | column assembly | connection through vertical column assembly | fire work clamping plate assembly | first flexible elongated rectangular sheet | fuselage and landing leg lock-release mechanism | lock-release mechanism | locking and releasing device | machine body | rocket launching cylinder cover | rotor wing locking and unlocking mechanism | space vehicle housing | top connected to horizontal clamping platform,18 | 19,2,1,landing system | blades
reduce number of parts,reduce number of parts,,central bulkheads | connection means for carrying object | first engagement member | forward fuselage | motor pod fairings | second engagement member on object | stabilizer fins | tail section | wing sections,3402 | 3403,2,1,fuselage | landing system
reduce occurrence abnormal situations,reduce occurrence abnormal situations,,,1211,1,1,CO2 gas-gap insulation | autonomous flight control
reduce operation cost,reduce cost in repeated operation | reduce operating cost | reduce operation cost | reducing operation cost,compare UAV soil moisture data with field measurements | select optimal soil moisture measurement point | using artificial intelligence,bracket at frame bottom | containing cavity | detachably arranged outer shell | feeding assembly sowing device | feeding component | feeding mechanism | frame body fixed by bolts | hollow cylindrical structure | lighting unit on cover upper surface | locking component | mounting frame with first motor | opening in outer shell | outer shell | rotating shaft through vertical frames | sowing mechanism,2062 | 2928 | 4030 | 5034,4,4,blades | solar panel
reduce operational risk,reduce operational risk,,multiple rotor assemblies,5287,1,1,blades | autonomous flight control
reduce operator mental strain,reduce operator mental strain,,first battery | first electronic components | multiple first and second electronic components | power consumption above threshold | power consumption at or below threshold | second electronic components,4501,1,1,survival heaters | batteries
reduce overlapping operation areas,reduce overlapping operation areas,,broadcasting control device | broadcasting control method | flight and load equipment modules | task command module | three-component aviation survey system | unmanned aerial vehicle,5085 | 5086,2,1,autonomous flight control | avionics processing
reduce owner loss,reduce owner loss,,air bag assembly | air bag assembly enclosed | elevated land portion in first zone | first inner cavity | foot rest assembly | foot rest shell,414,1,1,fuselage | landing system
reduce packaging waste,reduce packaging waste,acquire supervision strategy | control UAV flight,KAS Aerial Supply Kit | KAT Landing Kit | component secured to aerial equipment | fully automated home component,2329 | 2330,2,1,autonomous flight control | landing system
reduce personnel operation frequency,reduce personnel operation frequency,convolution neural network | drive motor to rotate | multi-feature area attention | use inertial navigation speed | visual axis points target,aircraft main body | area-level channel attention network | auxiliary cabinets | cavity in aircraft body | driving motor fixed on cavity top | feature extraction network | feature recovery network | sampling assemblies,2006 | 2007,2,1,autonomous flight control | avionics processing
reduce pesticide loss,reduce pesticide application | reduce pesticide loss,adjusting pesticide discharge | comparing images by date | detect structural changes | forward droplet direction | increased spraying amount | larger pesticide droplets | loading radar camera plant | protection unmanned aerial vehicle | receiving property images | resistance change mechanism | spray head rotation | spraying towards flight direction | steering mechanism rotation | transmitting canopy information | wind resistance effect,pesticide spraying mechanism,1467 | 6500,2,2,autonomous flight control | sensors
reduce photographing time,reduce photographing time,,base fixing panel | connected to winding extension unit | connection fixing bracket | connection support shafts | drone bottom surface connection | fixing panel | guide connection unit | operation rotation motor | photographing camera | rotation guide shaft | transmitter and receiver | winding extension unit,5949,1,1,solar panel | blades
reduce pitching cabin diameter,reduce pitching cabin diameter,indirect transmission mode | iron-core-free winding DC motor | precise planetary reducer,azimuth driving piece | azimuth driving transmission piece | pitching passive transmission part | radio-frequency receiver | receive RF signal,3065 | 3066,2,1,telecommunication | blades
reduce planning domain range,reduce planning domain range,control aircraft maneuver | first-level offline path planning | fly along central line | fuzzy inference rule | judge missile incoming direction | known threat sources,,3104 | 3105,2,1,autonomous flight control | avionics processing
reduce pod size and weight,reduce pod size and weight,indirect transmission mode | iron-core-free winding DC motor | precise planetary reducer,azimuth driving piece | azimuth driving transmission piece | pitching passive transmission part | radio-frequency receiver | receive RF signal,3065 | 3066,2,1,telecommunication | blades
reduce power needs,reduce power needs,airborne relay platform | laser communications link,airborne RF-head platform system | high-altitude balloon or drone | method | remote radio heads,5886,1,1,telecommunication | batteries
reduce pressure in load lock,reduce pressure in load lock,adjustable azimuth | adjustable incident angle | based on high vacuum pump parameters | control flow rate SoR | flow rate SoR limits | increase flow rate SoR | lower limit 1.3 times So1 | upper limit 6 times So1,high vacuum pump upstream | primary vacuum pump | pump unit,49 | 50,2,1,blades | CO2 gas-gap insulation
reduce property and personnel loss,reduce property and personnel loss,,canopy assembly | protection from rotor strike | rotor guard,1877,1,1,fuselage | blades
reduce purchase and management costs,reduce purchase and management costs,determine drone delivery possibility | identify products,modularized driving units | product packaging method | product payment unit,1484 | 1485,2,1,autonomous flight control | blades
reduce quality change,reduce quality change,,carbon nanotube (1) diameter 80-400 nm | carbon nanotube (2) diameter 0.4-3.0 nm | conductive additive with carbon black and carbon nanotubes | content rates of additives | positive electrode active material,211,1,1,CO2 gas-gap insulation | batteries
reduce rear side offset,reduce rear side offset,collecting position information | control left brake mechanism | controlling conveyor belt | controlling front wheel turning device | controlling multi-rotor UAV | front wheel angle given amount | front wheel angle return value | front wheel feedforward compensation quantity | front wheel turning mode switching | receive side offset and course angle,,6237,1,1,autonomous flight control | sensors
reduce relay UAV flight range,reduce relay UAV flight range,,,5873,1,1,telecommunication | batteries
reduce repetition rate,reduce repetition rate,according boundary information projecting | decompose surface to subregion projection | decomposing surface target object | full coverage route planning,flight control method and device | storage medium | unmanned aerial vehicle,5866 | 5867,2,1,autonomous flight control | avionics processing
reduce reverse logistics cost,reduce reverse logistics cost,based on picking and delivering data | calculating Euler loop length | construct cooperative picking and delivering model | constructing multi-dimensional vector | determining UAV number | evaluating total line-walking length | evaluating variance of line-walking length | shortest transportation distance | solve cooperative picking and delivering model | using particle swarm algorithm,,2782 | 2783,2,1,telecommunication | autonomous flight control
reduce risk,reduce risk,adjust spray head angle | improve YOLO algorithm | multiscale attention mechanism,sensor system | various sensors,2704,1,1,sensors | camera
reduce robot size,reduce robot size,aligning frames | averaging geo coordinates | building lattice map | computing system monitors component status | data from component status sensor,field of view | geo coordinates | geo lattice | intersection points | raw coordinates | vector magnetic force modules | vector rotor modules | wheel-track drive modules,2436 | 2437,2,1,sensors | blades
reduce rolling yawing pitching,reduce rolling yawing pitching,,fasten central plate to upper plate | fastening members at regular intervals | gimbal coupled | hollow-shaped upper plate | upper mounting units,2414,1,1,fuselage | blades
reduce rotation time,reduce rotation time,,antenna fixing unit coupled to power transmission | centrifugal nozzle for spraying | driving unit fixed to main body | main body with frame members | motor driving nozzle | power transmission unit connected to driving unit | sensor unit detecting operation | supports directional antenna rotation | transmits rotational power to antenna,1441,1,1,blades | telecommunication
reduce rotor striking force,reduce rotor striking force,adaptive signal varies with commanded signal | uses rotor state information,driving shaft | plurality of shells,2100 | 2101 | 2102,3,1,blades | autonomous flight control
reduce safety risk,reduce safety accident probability | reduce safety risk | reduced safety risk,lifting adjusting rod driven by screw rotation | lifting hanging mechanism and cutter system,automatic landing system | camera mounted on VTOL aircraft | central wing segment | connect sealing net | connected to releasing device | connecting device at UAV bottom | electroscope hung on insulating ropes | flange seat on guide rods | hanging rope | holds pilots and passengers | insulating ropes connected to horizontal rod | lifting screw rod | lifting screw rod engagement | lower base connected to telescopic device | lower base on hollow pipe | motion falling limiter | motion overshoot limiter | motor with vertical output shaft | multi-segment oblique flying wing | pull rope connection | relative-position acquisition unit | releasing device | scissor fork assemblies | single system supply | telescopic device below frame | telescopic suspension mechanism | thicker central segment | threads on lifting adjusting rod | transmission system network | two outer wing segments | upper base on hollow pipe | wire rewinding device,989 | 990 | 1972 | 2022 | 5810,5,3,landing system | autonomous flight control
reduce salvage cost,reduce salvage cost,material and pneumatic design | use of Beidou and AIS information,3K carbon fiber vertical lifting arm | AIS base station and terminals | Beidou satellite transmitter | Kevlar composite PVC foam wings | carbon composite PVC foam fuselage | fuselage and wings | unmanned aerial vehicle | vertical take-off and landing arms | wings on two sides,1343,1,1,autonomous flight control | blades
reduce service life reduction,reduce service life reduction,decoupled height and speed control | optimal speed height pitch angle | range rope knocked back,,1714,1,1,blades | autonomous flight control
reduce sliding mode approach time,reduce sliding mode approach time,,guide rope | guide rope connected to winding roll and UAV | hanging rope at balloon bottom | hydrogen production device | hydrogen tank | hydrogen tank connected to balloon | sliding mode anti-interference controller | total disturbance estimated value | variable speed approach law,6649,1,1,autonomous flight control | blades
reduce soot and sundries,reduce soot and sundries,baffle plugs extension port | baffle slides away | camera extends to take picture | camera retracted | magnetic blocks | rotating motor drive gear | rotor wing size reduction | sequential movement control,accommodating box | accommodating cavity | magnetic force matching,2745,1,1,blades | solar panel
reduce sowing position error,reduce sowing position error,angle retaining device vertical alignment | rotating speed control | rotor wing downward wind | seed leaking disc driven | speed reducing motor | speed reducing motor adapts speed,aerial vehicle including apparatus | flight control module | power supply module | push-up member | safety apparatus | seed leaking disc,2274,1,1,blades | autonomous flight control
reduce space arrival cost,reduce space arrival cost,,Figure 3 | column pipe 12B | crosslinkable organosilicon material | gravity power generation building 12 | polymer formula (I) | polymer formula (II) | simple gas engine 89C | vertical all-blade steam water gravity turbine,309,1,1,CO2 gas-gap insulation | solar panel
reduce speed and pose pressure,reduce speed and pose pressure,B spline course fitting module | establish path from predicted course | improved particle swarm waypoint estimation | interpolate flight point set | recalculate expected path | set expected speed and pose | set path planning function | shortest path pose change,,1103,1,1,autonomous flight control | avionics processing
reduce splashing loss,reduce splashing loss,,bottom plate with water inlet | closing device | cover plate | half-open one-way valve | one-way valve | overflow hole | sampling cylinder connected by rope | sealing device | stop block on inner wall | unmanned aerial vehicle,3187,1,1,CO2 gas-gap insulation | landing system
reduce spray pipe length,reduce spray pipe length,,"U-shaped spray pipe | adjustable thermal fog device connection | adjustable thermal fog system | battery in cavity II | battery, medicine box, thermal spray device | bumps on cavity II inner wall | heating device connected to U-shaped pipe | left and right machine bodies | medicine box in cavity I | rectangular cavity I and II | unmanned aerial vehicle frame",3225,1,1,CO2 gas-gap insulation | fuselage
reduce staff workload,reduce personnel workload | reduce staff workload,mounting box rotatably arranged between telescopic members | synchronous rotation at mounting cover sides | telescopic members driven by second driving member,central wing segment | communication between control module and monitoring member | control module on mounting cover | environmental information acquisition equipment | film hanging management system | holds pilots and passengers | intelligent film hanging rack | mounting monitoring member on mounting box | multi-segment oblique flying wing | thicker central segment | two outer wing segments | unmanned aerial vehicle | unmanned aerial vehicle system,988 | 4814,2,2,autonomous flight control | fuselage
reduce stalling risk,reduce stalling risk,adjust flow passage size | relative movement of bionic airfoils,adaptable wing | bionic surface portion | bionic surface undulations | conventional airfoil surface | conventional and bionic surfaces | conventional surface portion | flow passage between bionic surfaces | opposite sides airfoil | thickness direction undulations | two bionic airfoils,4,1,1,blades | CO2 gas-gap insulation
reduce stress on structural member,reduce stress on structural member,actuator acts on mass-damping-stiffness device | device generates displacement opposite to vibration,"connected to execution actuator | execution actuator | mass damping stiffness device | mass, damping and stiffness device | unmanned aerial vehicle | vibration reduction assembly | vibration reduction method",2563,1,1,fuselage | avionics processing
reduce surface contamination,reduce surface contamination,,,172 | 173,2,1,landing system | CO2 gas-gap insulation
reduce survey hassle,reduce survey hassle,,,6583,1,1,telecommunication | CO2 gas-gap insulation
reduce synapse turnover load,reduce synapse turnover load,based on neuron input and output | connection change components | connections to conductive layers | linear cynapse dynamic process | multilayer planar carrier substrate | neuron and cynapse state update | neuron input description | stable equilibrium framework,converter commutation cell | electrically conductive layers | gate driver circuit | multilayer carrier substrate | multilayer planar support substrate | power circuit with semiconductor switch | prepackages embedded in substrate,206 | 207,2,1,avionics processing | batteries
reduce task execution time,reduce task execution time,,,5873,1,1,avionics processing | CO2 gas-gap insulation
reduce temperature lag,reduce temperature lag,,GND pattern on bottom plate | circuit element | circuit element on sensor element | container with containing part and bottom plate | sensor element | sensor element on inner bottom surface | separated from inner bottom surface,73 | 74,2,1,CO2 gas-gap insulation | sensors
reduce tension on mooring line,reduce tension on mooring line,,balloon with kite mounted below | connecting portion movable along rope | connecting portion position moving portion | lower rope connected to balloon and kite | mooring line connected to connecting portion | plurality of moored flight devices,1670 | 1671,2,1,blades | autonomous flight control
reduce time and manpower,reduce time and manpower,AI system identifies object | server receives image from camera,marking positions on floors | virtual floors at different heights,4563,1,1,camera | sensors
reduce training cost,reduce training cost,,broken step design | buoy front end inclined upwards | camera box on lower surface | clamp plate below connecting plate | computer host | control box mounted on clamp plate | floating cylinder ship-like structure | head lifted from water surface | longitudinal connecting plates | reduced fluid resistance | remote controller | unmanned aerial vehicle main body | video defect monitoring module,900,1,1,autonomous flight control | fuselage
reduce transmission delay,reduce transmission delay,formal verification process | linear inequality based on track sets | verification of data correlation,,2013,1,1,telecommunication | avionics processing
reduce transmission loss,reduce transmission loss,,,2334 | 2335,2,1,CO2 gas-gap insulation | telecommunication
reduce transportation cost,reduce transportation cost,compared to secondary processing | integral injection molding,first folding arm | first folding arm connected to machine body | integrally injection molded folding arm | second folding arm,6068,1,1,fuselage | landing system
